機構名稱	網址
東華三院何玉清教育心理服務中心	https://www.tungwahepsc.org/event.php?cid=1&wid=185#ComingEvent
循道衛理觀塘社會服務處	https://ktmss.org.hk/rehabilitation-services
香港小童群益會	https://www.healthykidhk.org/sen-support-program-2025
協康會（青蔥計劃）	https://slp.heephong.org
韻澄教育中心（Dax Education Centre）	https://store.schooltracs.com/?b=2&category=治療課程&o=daxeducationcentre
生命互補教育基金	https://www.soarcommunityhk.com/sen支援
耀能協進會（SAHK）	https://www.sahk1963.org.hk/b5_course_1.php
SJ Smile	https://www.sjsmile.com
自閉兒生命建立發展社 	https://www.facebook.com/aclbdcl/?locale=zh_HK
扶康會 	https://www.fuhong.org/PageInfo.aspx?md=20000&cid=322#
香港康復學會 (HKRAA)	https://hkraa.hk
博思會	https://pathways.org.hk/services/cc-assp/#cc-eng
香港聖公會福利協會	https://www.skhwc.org.hk/zh-hant/services/sen/
新生精神康復會	https://www.nlpra.org.hk/TC/our_services/services%20for%20asdinclusive%20drama%20-%20art%20programme%20for%20youths%20with%20special%20educational%20needs/37
Let's Talk ADHD HK	https://www.letstalkadhd.hk/brainbloom
基督教聯合那打素社康服務	https://www.ucn.org.hk/zh-hant/services/emotional-health-counselling-service/Play-Therapy/
童樂社 	http://www.hkhca.com/?page_no=6&lang=0
The Hong Kong Jockey Club Charities Trust	https://www.socsc.hku.hk/JCA-Connect/caregiver-support/how-to-join/
匯喬心迎兒童發展評估中心 / 匯喬心迎情緒健康中心	https://www.shiningfamily.com/服務範疇
樂善堂莫葉瑞衡兒童發展中心	https://www.lstmyshrc.org
香港兒童綜合發展中心	https://hkcidc.com/Services.php?index=5
Autism Partnership Foundation (APF) 	https://www.apf.org.hk/services/one-month-1-on-1-intensive-aba-treatment
ILK Learning 	https://ilklearning.com/hk/courses/ilk-kie-bce-add001-sen
